"","ent_res","d","O","n","dn","LQ","Estado","Nivel"
"1","29",980,4432,22.1119133574007,15.6820118039518,1.41,"Tlaxcala","Alto"
"2","05",2289,11503,19.8991567417196,15.6820118039518,1.27,"Coahuila","Alto"
"3","09",8813,44988,19.589668356006,15.6820118039518,1.25,"CDMX","Alto"
"4","15",10707,55115,19.4266533611539,15.6820118039518,1.24,"México","Alto"
"5","11",4062,21360,19.0168539325843,15.6820118039518,1.21,"Guanajuato","Alto"
"6","27",1505,8528,17.6477485928705,15.6820118039518,1.13,"Tabasco","Alto"
"7","28",2298,13401,17.1479740317887,15.6820118039518,1.09,"Tamaulipas","Alto"
"8","21",4329,25871,16.7330215298983,15.6820118039518,1.07,"Puebla","Alto"
"9","16",3356,20246,16.5761138002568,15.6820118039518,1.06,"Michoacán","Alto"
"10","17",1288,7724,16.6752977731745,15.6820118039518,1.06,"Morelos","Alto"
"11","06",436,2671,16.3234743541745,15.6820118039518,1.04,"Colima","Alto"
"12","01",692,4295,16.1117578579744,15.6820118039518,1.03,"Aguascalientes","Alto"
"13","30",5989,37607,15.9252266865211,15.6820118039518,1.02,"Veracruz","Alto"
"14","14",4997,32747,15.259413076007,15.6820118039518,0.97,"Jalisco","Moderado"
"15","22",965,6633,14.5484697723504,15.6820118039518,0.93,"Querétaro","Moderado"
"16","19",2823,19538,14.4487665062954,15.6820118039518,0.92,"Nuevo León","Moderado"
"17","24",1510,10683,14.1346063839745,15.6820118039518,0.9,"San Luis Potosí","Moderado"
"18","04",430,3221,13.3498913380938,15.6820118039518,0.85,"Campeche","Moderado"
"19","13",1494,11406,13.0983692793267,15.6820118039518,0.84,"Hidalgo","Moderado"
"20","23",478,3619,13.2080685272175,15.6820118039518,0.84,"Quintana Roo","Moderado"
"21","18",633,4887,12.9527317372621,15.6820118039518,0.83,"Nayarit","Moderado"
"22","12",1883,14720,12.7921195652174,15.6820118039518,0.82,"Guerrero","Moderado"
"23","03",277,2199,12.5966348340155,15.6820118039518,0.8,"Baja California Sur","Moderado"
"24","10",1080,8638,12.5028941884696,15.6820118039518,0.8,"Durango","Moderado"
"25","02",1658,13574,12.214527773685,15.6820118039518,0.78,"Baja California","Moderado"
"26","32",858,7052,12.1667612024957,15.6820118039518,0.78,"Zacatecas","Moderado"
"27","20",2197,18131,12.1173680436821,15.6820118039518,0.77,"Oaxaca","Moderado"
"28","26",1483,12458,11.9039974313694,15.6820118039518,0.76,"Sonora","Moderado"
"29","08",2314,19941,11.6042324858332,15.6820118039518,0.74,"Chihuahua","Moderado"
"30","31",1076,9330,11.5326902465166,15.6820118039518,0.74,"Yucatán","Moderado"
"31","25",1414,12306,11.490329920364,15.6820118039518,0.73,"Sinaloa","Moderado"
"32","07",2077,18301,11.3491066061964,15.6820118039518,0.72,"Chiapas","Moderado"
